RS_ID;time;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;
8742;97.274209;396;1;22.9118;2.76395;100;-1;-1;0;1;1;0.0744236;-0.120138;-1.04506;0.0744236;-0.120138;-1.04506;0;0;0;0;0;0;0.00603441;
8743;97.285336;395;1;22.8091;2.25676;0.048313;396;0;0;2;1;0.0769519;-0.12068;-1.04976;0.0756877;-0.120409;-1.04741;0.0289826;-0.00620389;-0.0539643;0;0;0;0.00494929;
8744;97.296463;392.182;2.72727;22.5051;3.74241;0.102702;394;0;0;3;1;0.0842553;-0.125413;-1.06168;0.0785436;-0.122077;-1.05217;0.120989;-0.0622393;-0.206017;0;0;0;0.00831833;
8745;97.307589;391.571;5.14286;22.2382;4.22201;0.0987724;391;2;0;4;1;0.0866396;-0.13131;-1.07123;0.0805676;-0.124385;-1.05693;0.170913;-0.145064;-0.351992;0;0;0;0.00949698;
8746;97.318716;390.267;6.66667;21.6522;4.37019;0.0656612;390;5;0;5;1;0.0919988;-0.13771;-1.09815;0.0849614;-0.128778;-1.07021;0.231178;-0.234146;-0.675995;0;0;0;0.0100963;
8747;97.329843;389.286;8.28571;21.3708;5.97082;0.0891602;389;7;0;6;1;0.095506;-0.142586;-1.11037;0.0895999;-0.134255;-1.08536;0.266802;-0.296995;-0.863818;3.20187;-5.64869;-16.8811;0.0139758;
8748;97.340969;387.286;9.57143;21.1351;4.22201;0.0262608;388;9;0;7;1;0.101305;-0.146636;-1.12097;0.0938623;-0.13956;-1.10018;0.313972;-0.331516;-0.9527;3.72068;-4.37569;-12.4348;0.00999264;
8749;97.352096;387.091;10.1212;21.0951;6.48205;0.0807139;386;10;0;8;1;0.101959;-0.147968;-1.12232;0.0976922;-0.143725;-1.11295;0.300916;-0.318766;-0.883493;2.08934;-2.53517;-6.21667;0.0153708;
8750;97.363222;384.6;11.4;20.589;3.56825;0.0479104;386;11;0;9;1;0.110517;-0.154117;-1.14808;0.102322;-0.147827;-1.12544;0.35525;-0.343326;-1.03751;2.78785;-2.45324;-8.12327;0.00866934;
8751;97.374348;385.474;11.1579;20.1891;4.91849;0.0681634;383;12;0;10;1;0.110542;-0.156685;-1.17118;0.106081;-0.151351;-1.14064;0.332671;-0.339123;-1.23358;1.48005;-0.946629;-8.30847;0.0121865;
8752;97.385476;382.25;11.75;20.0807;3.19154;0.0687537;384;12;0;11;1;0.119168;-0.158722;-1.17663;0.110546;-0.154373;-1.15455;0.379794;-0.317485;-1.21972;1.47893;0.315211;-5.99999;0.00795034;
8753;97.396602;382;13;20.0311;2.76395;0.0807249;381;12;0;12;1;0.120088;-0.161638;-1.17771;0.115079;-0.15779;-1.1684;0.361369;-0.301483;-1.07078;1.35826;0.388303;-4.20831;0.00690223;
8754;97.407728;380.4;12.8;19.4508;2.52313;0.0747057;380;13;0;13;1;0.127785;-0.166045;-1.21315;0.119396;-0.160773;-1.18466;0.395907;-0.306933;-1.27893;0.91345;0.817695;-5.42451;0.00648885;
8755;97.418855;379.429;14;19.0817;2.98541;0.0638511;379;13;0;14;1;0.132804;-0.1718;-1.23476;0.124961;-0.164551;-1.20056;0.417208;-0.336002;-1.44959;1.89938;0.0701401;-4.85332;0.00782623;
8756;97.429981;379;15;18.6974;2.25676;0.100392;378;14;0;15;1;0.13668;-0.177493;-1.25856;0.129339;-0.169244;-1.22104;0.417228;-0.370425;-1.60806;0.841068;-1.18948;-8.72553;0.00603765;
8757;97.441108;377.571;15;18.5692;4.22201;0.0189754;378;15;0;16;1;0.141471;-0.178718;-1.26725;0.134685;-0.173514;-1.24343;0.418951;-0.351448;-1.56804;1.29379;-1.12263;-11.1728;0.0113734;
8758;97.452235;378;16;18.1677;3.38514;0.0568853;376;15;0;17;1;0.143419;-0.184894;-1.29364;0.138593;-0.178226;-1.26355;0.388546;-0.369573;-1.65402;-0.165368;-1.4074;-8.42747;0.00932054;
8759;97.463361;377.455;18.3636;18.0431;5.29257;0.0967389;377;16;0;18;1;0.145921;-0.191467;-1.29871;0.141873;-0.183143;-1.27954;0.355106;-0.405279;-1.53671;-1.39535;-1.55657;-1.95741;0.014673;
8760;97.474487;378.889;18.6667;17.7683;4.78731;0.0990448;376;19;0;19;1;0.144139;-0.195118;-1.31829;0.143738;-0.187549;-1.29447;0.275571;-0.410192;-1.51672;-3.18289;-0.893521;2.05265;0.0134775;
8761;97.485615;377;21;17.5296;3.56825;0.04882;378;19;0;20;1;0.151493;-0.203158;-1.33233;0.146243;-0.193659;-1.31074;0.291843;-0.452059;-1.47588;-2.85602;-2.26057;2.07097;0.0101824;
8762;97.496741;379;22;17.2762;4.51352;0.0959888;376;22;0;21;1;0.147924;-0.208478;-1.35016;0.147369;-0.199555;-1.32487;0.220429;-0.472693;-1.47524;-3.77753;-2.31696;4.017;0.0130687;
8763;97.507867;379;24;17.1464;1.59577;0.127616;378;23;0;22;1;0.149043;-0.214772;-1.35695;0.14815;-0.205381;-1.33943;0.175632;-0.49308;-1.36454;-4.0327;-1.97275;3.86844;0.00465543;
8764;97.518994;381.167;24.5;16.7608;3.90882;0.0623835;379;25;0;23;1;0.146006;-0.220919;-1.38729;0.148616;-0.211832;-1.35668;0.0999012;-0.509082;-1.49255;-3.94709;-2.22188;0.543151;0.0116658;
8765;97.530120;381.286;25.7143;16.304;4.22201;0.0350829;381;25;0;24;1;0.149732;-0.230121;-1.42396;0.148176;-0.218572;-1.37959;0.0985734;-0.556245;-1.77555;-4.34251;-2.34096;-6.73321;0.0129536;
8766;97.541247;383;27;16.2891;2.25676;0.113753;381;26;0;25;1;0.144604;-0.233522;-1.42294;0.147346;-0.224833;-1.39778;0.0266661;-0.543778;-1.65426;-4.35356;-1.59722;-4.02237;0.0069303;
8767;97.552374;386;28;15.7899;3.38514;0.0818011;383;28;0;26;1;0.139672;-0.243466;-1.46606;0.145003;-0.232007;-1.42506;-0.0629898;-0.583252;-1.88745;-5.36134;-2.02602;-11.7486;0.0107241;
8768;97.563500;387.667;28.3333;15.6601;2.76395;0.0580189;387;29;0;27;1;0.135506;-0.246345;-1.47759;0.142378;-0.238363;-1.44764;-0.139764;-0.558176;-1.87522;-5.38493;-1.10305;-8.59783;0.00882876;
8769;97.574627;389.6;27.8;15.4837;3.56825;0.0505115;388;29;0;28;1;0.130803;-0.247758;-1.49543;0.137646;-0.242772;-1.4655;-0.207573;-0.492819;-1.83555;-6.87869;1.42519;-1.3478;0.0115278;
8770;97.585754;391.333;29.3333;15.4576;1.95441;0.102668;391;28;0;29;1;0.125415;-0.252187;-1.49503;0.132849;-0.247439;-1.48353;-0.270888;-0.453719;-1.58047;-6.68554;2.02355;1.65797;0.00632465;
8771;97.596880;394;27;15.1019;4.78731;0.119102;392;29;0;30;1;0.119536;-0.251881;-1.53481;0.127815;-0.249543;-1.50072;-0.329891;-0.376178;-1.72939;-5.99697;4.65274;3.5508;0.0158572;
8772;97.608007;396;28;14.8425;2.52313;0.0685439;395;27;0;31;1;0.114885;-0.259006;-1.55964;0.12266;-0.252708;-1.52123;-0.365525;-0.377832;-1.85503;-5.07254;4.05212;0.453214;0.00850348;
8773;97.619133;397.75;26.25;14.1143;3.19154;0.0513749;397;28;0;32;1;0.11461;-0.267357;-1.64376;0.118612;-0.257608;-1.55831;-0.336773;-0.426058;-2.63476;-2.90291;1.5;-17.9582;0.0113112;
8774;97.630260;400.4;26.8;13.7674;2.52313;0.0748987;399;26;0;33;1;0.10787;-0.275709;-1.68401;0.114225;-0.263488;-1.60555;-0.359203;-0.48738;-3.08221;-1.98433;-0.75623;-33.7423;0.00916756;
8775;97.641386;400.769;24.7692;13.6081;4.06843;0.0797031;402;26;0;34;1;0.107775;-0.272901;-1.70811;0.111285;-0.268743;-1.64888;-0.323745;-0.418371;-3.15029;0.138163;-0.947931;-31.9257;0.0149553;
8776;97.652513;404;24;13.8169;2.52313;0.0812905;402;24;0;35;1;0.0944495;-0.266526;-1.68394;0.106176;-0.270623;-1.67995;-0.420553;-0.26341;-2.49951;-1.23638;2.57106;-14.4806;0.00913469;
8777;97.663640;405.333;22.5;14.105;3.90882;0.0438037;405;23;0;36;1;0.087792;-0.256783;-1.65268;0.0994714;-0.26798;-1.68218;-0.483234;-0.054087;-1.55344;-3.29069;8.35761;24.2952;0.0138624;
8778;97.674766;407.429;22;13.872;2.98541;0.0370797;407;21;0;37;1;0.0817112;-0.259639;-1.6815;0.0929318;-0.263962;-1.68155;-0.51721;0.00658029;-1.29473;-3.55016;11.0985;40.1616;0.0107654;
8779;97.685892;409.333;20.2222;13.6235;3.38514;0.0295638;409;21;0;38;1;0.0762076;-0.259098;-1.71601;0.0850401;-0.260512;-1.68353;-0.528375;0.0370137;-1.4183;-4.59774;10.2317;38.9145;0.0124295;
8780;97.697020;410.727;19.0909;13.5169;3.74241;0.0281002;411;19;0;39;1;0.0716499;-0.257757;-1.732;0.0793402;-0.258319;-1.69555;-0.517837;0.0602451;-1.47181;-2.18582;7.27187;23.0902;0.0138497;
8781;97.708146;412.2;18.7;13.1984;5.04627;0.0702345;412;18;0;40;1;0.0677971;-0.262779;-1.77467;0.0743414;-0.259818;-1.72605;-0.4916;0.00458599;-1.79532;-0.18802;1.31829;-5.43473;0.0191255;
8782;97.719272;414.222;18.6667;13.3042;3.38514;0.0597888;413;17;0;41;1;0.0596546;-0.260588;-1.76063;0.0688273;-0.260055;-1.74583;-0.511399;0.00611746;-1.53907;0.130554;-0.0104563;-5.4902;0.0127277;
8783;97.730399;416.667;18.381;12.9913;5.17088;0.109128;415;17;0;42;1;0.0516794;-0.265976;-1.80369;0.0626952;-0.261775;-1.76775;-0.545771;-0.0557901;-1.73044;-0.390846;-2.08518;-7.01299;0.0199103;
8784;97.741526;418.769;17.2308;12.8855;4.06843;0.0359064;418;17;0;43;1;0.0439415;-0.264551;-1.82113;0.0557681;-0.263473;-1.79003;-0.579068;-0.0579234;-1.78874;-1.37574;-2.65506;-7.12097;0.015794;
8785;97.752652;421;18;12.7525;4.78731;0.0923262;420;16;0;44;1;0.0356494;-0.269749;-1.83835;0.0477312;-0.265216;-1.80595;-0.614028;-0.111007;-1.78206;-2.7508;-2.59718;0.298476;0.0187785;
8786;97.763779;424;18;12.7547;3.38514;0.0847596;422;17;0;45;1;0.0238775;-0.269702;-1.83803;0.038787;-0.267494;-1.8253;-0.685097;-0.118244;-1.5483;-3.90268;-2.7942;-0.207372;0.0132761;
8787;97.774906;426.824;17.7647;12.609;4.65243;0.0529857;426;17;0;46;1;0.012952;-0.272065;-1.85982;0.0291051;-0.269016;-1.83933;-0.752332;-0.133241;-1.50406;-4.64116;-1.74027;5.08615;0.0184571;
8788;97.786032;429.733;18.9333;12.5567;4.37019;0.0712049;429;17;0;47;1;0.00141402;-0.27696;-1.86482;0.0184732;-0.272119;-1.85025;-0.816429;-0.17857;-1.35129;-5.33324;-2.71085;9.82896;0.0174097;
8789;97.797159;432;20;12.5238;3.38514;0.0868375;432;18;0;48;1;-0.00763576;-0.281132;-1.86722;0.00765195;-0.274965;-1.85747;-0.84252;-0.222346;-1.14322;-5.13389;-2.50163;14.3535;0.0135209;
8790;97.808285;435.231;19.2308;12.4857;4.06843;0.0474998;434;20;0;49;1;-0.0206027;-0.279497;-1.87472;-0.00346809;-0.277413;-1.86664;-0.894487;-0.193335;-0.99741;-4.7048;-1.68719;12.3777;0.0162996;
8791;97.819412;438.769;21.2308;12.4251;4.06843;0.0903404;437;19;0;50;1;-0.0349487;-0.28737;-1.87913;-0.0154433;-0.28124;-1.87147;-0.966334;-0.246938;-0.860487;-4.80842;-2.55463;14.4603;0.0163792;
8792;97.830539;441;22;12.2561;3.90882;0.0370039;441;21;0;51;1;-0.0445355;-0.293871;-1.90319;-0.0269307;-0.285467;-1.88106;-0.982662;-0.312113;-0.970021;-3.73505;-3.00043;8.5666;0.0159536;
8793;97.841665;443.231;23.2308;12.076;4.06843;0.0411429;443;22;0;52;1;-0.0544399;-0.302372;-1.92856;-0.0386317;-0.290778;-1.8964;-0.977614;-0.396701;-1.1824;-3.03544;-3.91753;-0.88024;0.0168526;
8794;97.852791;445.778;25.3333;12.0549;3.38514;0.100018;445;23;0;53;1;-0.0651041;-0.309954;-1.92681;-0.0497571;-0.298392;-1.90942;-0.973087;-0.467978;-1.09919;-1.76607;-6.17095;-2.28678;0.0140467;
8795;97.863918;447.833;26.6667;11.7966;3.90882;0.0246046;448;26;0;54;1;-0.0752465;-0.321313;-1.96568;-0.0598315;-0.306878;-1.93106;-0.96336;-0.567948;-1.37019;0.066842;-7.21258;-11.452;0.016575;
8796;97.875045;450.25;28.25;11.7383;3.19154;0.0654475;450;27;0;55;1;-0.0859186;-0.328362;-1.97146;-0.0701773;-0.315501;-1.94813;-0.958808;-0.617633;-1.37375;0.535978;-6.86467;-9.07111;0.0136007;
8797;97.886171;451.429;29;11.6242;4.22201;0.028522;452;29;0;56;1;-0.0918336;-0.334194;-1.98891;-0.0795257;-0.323456;-1.96322;-0.902439;-0.62624;-1.40005;1.68913;-5.15743;-4.88984;0.0181686;
8798;97.897298;453.222;31.4444;11.5477;4.78731;0.0745386;453;30;0;57;1;-0.100212;-0.344967;-1.99585;-0.0883026;-0.332209;-1.98048;-0.860075;-0.673407;-1.31189;2.53922;-4.61559;-4.77888;0.0207377;
8799;97.908425;454;32;11.4825;3.38514;0.050258;455;32;0;58;1;-0.104169;-0.348881;-2.00576;-0.0955332;-0.339101;-1.9905;-0.778227;-0.651881;-1.22166;4.15971;-1.88585;3.33719;0.014747;
8800;97.919551;455;33;11.4606;4.22201;0.00993064;455;33;0;59;1;-0.108733;-0.353076;-2.00702;-0.101237;-0.345279;-1.99939;-0.697457;-0.607924;-1.04302;5.87227;0.218227;7.4311;0.0184279;
8801;97.930678;454;34;11.3321;3.38514;0.0833555;456;34;0;60;1;-0.105552;-0.360649;-2.02719;-0.104666;-0.351893;-2.00895;-0.538653;-0.599023;-1.06731;8.17362;0.611634;7.47615;0.0149427;
8802;97.941804;454.571;36;11.2165;2.98541;0.0669848;455;35;0;61;1;-0.109188;-0.371577;-2.04284;-0.10691;-0.358546;-2.0207;-0.446011;-0.64422;-1.12062;9.30343;0.655807;4.29776;0.0133141;
8803;97.952930;454.571;36;11.0107;2.98541;0.0656037;455;37;0;62;1;-0.111229;-0.378522;-2.08102;-0.108675;-0.365956;-2.03951;-0.374231;-0.660341;-1.43742;9.07725;-0.190123;-4.84793;0.013563;
8804;97.964058;454.333;38.3333;10.9264;2.76395;0.085214;455;37;0;63;1;-0.110997;-0.390076;-2.09078;-0.109242;-0.375206;-2.06045;-0.294173;-0.715226;-1.49691;9.0611;-2.41091;-10.1984;0.0126537;
8805;97.975184;454.4;39.2;10.8357;2.52313;0.0586621;454;39;0;64;1;-0.112234;-0.396574;-2.10592;-0.110912;-0.384187;-2.08014;-0.237742;-0.721176;-1.50414;6.76116;-2.74461;-9.81508;0.0116479;
8806;97.986310;453.75;40.25;10.714;3.19154;0.0216047;454;40;0;65;1;-0.110474;-0.405042;-2.12696;-0.111233;-0.392554;-2.10117;-0.163923;-0.728724;-1.55645;6.33821;-1.89865;-9.79278;0.014901;
8807;97.997437;453;42;10.5557;2.76395;0.06314;453;41;0;66;1;-0.108576;-0.417819;-2.15397;-0.11057;-0.402378;-2.11941;-0.0907546;-0.785354;-1.68916;6.36926;-2.80874;-5.65598;0.013098;
8808;98.008563;453.429;44;10.5129;2.98541;0.0747641;452;43;0;67;1;-0.111057;-0.427211;-2.15713;-0.110585;-0.411662;-2.13599;-0.077381;-0.816252;-1.56476;4.87106;-2.26989;-1.5243;0.0142051;
8809;98.019690;453;45;10.4497;2.25676;0.0401029;453;45;0;68;1;-0.109678;-0.433668;-2.16737;-0.109946;-0.420935;-2.15136;-0.0461766;-0.79893;-1.43123;4.30422;-1.74698;1.6384;0.0108031;
8810;98.030817;453;47;10.4231;2.25676;0.0861104;452;46;0;69;1;-0.109958;-0.442532;-2.16725;-0.109817;-0.430307;-2.16143;-0.0305964;-0.791477;-1.19206;2.99561;-1.40993;8.1875;0.0108306;
8811;98.041943;451.333;48.6667;10.1994;1.95441;0.0785554;452;48;0;70;1;-0.104196;-0.458846;-2.20998;-0.108722;-0.440564;-2.17543;0.045801;-0.874472;-1.431;3.0683;-2.00245;5.80008;0.00958533;
8812;98.053069;451.333;50.6667;10.2275;1.95441;0.0664844;451;50;0;71;1;-0.103909;-0.465491;-2.19814;-0.106935;-0.450134;-2.18568;0.074818;-0.873404;-1.21149;3.4198;-1.28418;7.9373;0.00955895;
8813;98.064196;451.429;52;9.97338;2.98541;0.0725761;450;52;0;72;1;-0.107034;-0.482757;-2.25021;-0.106274;-0.462406;-2.20639;0.0414404;-0.959497;-1.56318;1.96868;-3.60785;-2.96526;0.0149736;
8814;98.075323;451;54;9.92177;2.76395;0.046903;451;53;0;73;1;-0.10543;-0.493418;-2.25597;-0.105142;-0.475128;-2.22857;0.0407466;-0.994904;-1.57525;1.60304;-4.57081;-8.61004;0.0139349;
8815;98.086449;450.8;55.6;9.81987;2.52313;0.0394872;450;55;0;74;1;-0.105505;-0.505127;-2.27459;-0.10547;-0.486698;-2.24473;0.0344006;-1.01686;-1.59268;-0.256159;-3.19931;-3.63283;0.0128528;
8816;98.097575;450.667;58.6667;9.72528;1.95441;0.101022;450;57;0;75;1;-0.105846;-0.522789;-2.28742;-0.105954;-0.501023;-2.26705;0.0234886;-1.09872;-1.54388;-1.15334;-5.06263;-7.46861;0.0100526;
8817;98.108702;450;60;9.61732;1.12838;0.0918858;450;60;0;76;1;-0.103566;-0.534264;-2.30902;-0.105087;-0.5139;-2.28175;0.0421106;-1.12393;-1.57433;0.0150262;-3.69471;-0.250409;0.00586898;
8818;98.119828;449.5;62;9.67933;2.25676;0.0452109;449;61;0;77;1;-0.100319;-0.539196;-2.28814;-0.103809;-0.525344;-2.28979;0.0816654;-1.04754;-1.14675;0.919407;-1.18253;9.6285;0.0116628;
8819;98.130955;450;63.4286;9.57187;2.98541;0.0806217;449;63;0;78;1;-0.104058;-0.551284;-2.30943;-0.103447;-0.536883;-2.2985;0.0447287;-1.02093;-1.06788;0.232052;-0.0912746;11.7923;0.0156017;
8820;98.142082;449;66;9.3343;2.76395;0.0636614;449;65;0;79;1;-0.101348;-0.576454;-2.3601;-0.102323;-0.550299;-2.31667;0.0548292;-1.16823;-1.47987;0.704171;-1.56161;1.43943;0.014812;
